646,0.84,0.88,0.87,0.93,0.84,0.88,0.86,0.85,0.91,0.9,0.82,0.85,0.92,0.83,0.85,0.84,0.91,0.93,0.94,0.92,0.86,0.85,0.89,0.87,0.85,0.86,0.93,0.93,0.91,0.93,0.93,0.92,0.9,0.92,0.8,0.92,0.92,0.9,0.9,0.85,0.83,0.89,0.86,0.84,0.87,0.87,0.86,0.86,0.85,0.87,0.93,0.9,0.9,0.88,0.89,0.82,0.9,0.88,0.86,0.87,0.9,0.86,0.91,0.87,0.88,0.85,0.86,0.89,0.82,0.87,0.84,0.88,0.92,0.86,0.87,0.88,0.81,0.92,0.91,0.85,0.89,0.93,0.92,0.85,0.89,0.89,0.91,0.88,0.87,0.89,0.9,0.89,0.89,0.79,0.88,0.84,0.83,0.88,0.85,0.91
419,0.98,0.98,0.99,0.99,1.0,0.99,1.0,0.98,0.99,0.98,0.99,1.0,0.99,0.98,0.99,0.99,1.0,0.97,0.98,1.0,1.0,0.98,1.0,0.98,1.0,0.98,0.99,0.98,0.99,0.98,1.0,0.99,0.99,1.0,1.0,0.99,0.97,0.98,0.99,0.99,0.98,0.99,0.98,0.99,1.0,0.99,1.0,0.99,0.95,0.97,0.99,0.95,0.98,0.99,1.0,0.97,0.98,0.99,1.0,0.99,0.98,0.98,1.0,0.98,0.99,1.0,0.98,0.97,0.99,0.97,0.98,0.99,0.98,0.99,0.99,0.98,1.0,1.0,0.98,0.99,1.0,0.97,1.0,0.98,1.0,0.98,1.0,0.96,0.99,0.99,0.99,0.98,1.0,1.0,0.99,0.99,0.98,0.98,0.98,0.99
369,0.82,0.79,0.76,0.72,0.73,0.71,0.75,0.78,0.8,0.75,0.76,0.77,0.84,0.79,0.75,0.8,0.77,0.8,0.71,0.79,0.68,0.78,0.84,0.82,0.78,0.77,0.82,0.78,0.83,0.71,0.78,0.8,0.85,0.77,0.78,0.78,0.81,0.83,0.77,0.73,0.79,0.78,0.73,0.78,0.77,0.77,0.81,0.83,0.8,0.75,0.78,0.78,0.76,0.74,0.74,0.72,0.8,0.71,0.82,0.69,0.8,0.73,0.79,0.82,0.8,0.79,0.77,0.78,0.85,0.81,0.79,0.75,0.79,0.86,0.74,0.73,0.76,0.79,0.79,0.77,0.86,0.74,0.8,0.74,0.79,0.81,0.8,0.78,0.71,0.8,0.75,0.78,0.79,0.75,0.8,0.82,0.81,0.84,0.84,0.75
239,0.94,0.87,0.92,0.93,0.9,0.9,0.9,0.89,0.87,0.91,0.95,0.96,0.91,0.91,0.9,0.88,0.92,0.97,0.92,0.92,0.9,0.91,0.93,0.92,0.91,0.93,0.84,0.92,0.93,0.87,0.92,0.92,0.95,0.95,0.89,0.93,0.94,0.93,0.93,0.88,0.93,0.92,0.88,0.92,0.92,0.91,0.9,0.91,0.89,0.88,0.93,0.86,0.91,0.94,0.92,0.89,0.95,0.92,0.93,0.94,0.89,0.94,0.91,0.93,0.94,0.88,0.92,0.87,0.9,0.9,0.9,0.94,0.91,0.93,0.92,0.89,0.92,0.9,0.88,0.9,0.89,0.9,0.89,0.95,0.91,0.96,0.88,0.92,0.91,0.9,0.87,0.91,0.89,0.92,0.86,0.86,0.9,0.91,0.88,0.95
109,0.87,0.87,0.86,0.85,0.8,0.91,0.84,0.78,0.88,0.82,0.79,0.81,0.85,0.82,0.85,0.85,0.89,0.88,0.87,0.83,0.86,0.83,0.84,0.79,0.86,0.81,0.87,0.78,0.85,0.86,0.89,0.82,0.83,0.87,0.75,0.82,0.85,0.83,0.86,0.73,0.84,0.86,0.84,0.88,0.87,0.8,0.86,0.82,0.84,0.88,0.85,0.82,0.85,0.84,0.86,0.82,0.87,0.8,0.84,0.84,0.83,0.81,0.8,0.82,0.83,0.86,0.83,0.87,0.84,0.81,0.86,0.86,0.84,0.83,0.84,0.83,0.8,0.88,0.81,0.83,0.85,0.81,0.88,0.84,0.79,0.79,0.78,0.87,0.87,0.88,0.89,0.88,0.86,0.88,0.85,0.86,0.81,0.84,0.81,0.87
858,0.94,0.95,0.93,0.91,0.87,0.95,0.89,0.92,0.89,0.94,0.94,0.96,0.9,0.97,0.9,0.93,0.94,0.92,0.93,0.91,0.9,0.93,0.94,0.95,0.89,0.97,0.96,0.92,0.95,0.95,0.86,0.92,0.95,0.93,0.95,0.93,0.91,0.94,0.95,0.94,0.91,0.93,0.95,0.89,0.93,0.94,0.93,0.95,0.92,0.89,0.95,0.93,0.9,0.92,0.9,0.91,0.94,0.93,0.95,0.98,0.91,0.87,0.94,0.9,0.92,0.91,0.92,0.94,0.92,0.92,0.94,0.9,0.91,0.89,0.89,0.9,0.93,0.94,0.89,0.9,0.94,0.93,0.97,0.9,0.94,0.93,0.93,0.92,0.9,0.93,0.97,0.95,0.91,0.91,0.92,0.93,0.95,0.91,0.93,0.91
430,1.0,1.0,0.97,0.98,0.97,0.97,0.96,0.96,0.97,1.0,1.0,0.96,0.98,0.99,0.98,1.0,0.99,0.99,0.93,0.97,0.98,0.98,0.98,0.99,0.98,1.0,0.99,1.0,0.99,0.97,0.96,0.98,0.99,0.96,1.0,0.98,0.95,0.94,0.97,0.98,0.97,0.98,0.98,0.97,0.99,0.98,0.96,0.97,0.97,0.96,0.97,0.97,0.97,0.98,0.99,0.98,0.98,1.0,1.0,1.0,0.97,0.99,0.98,0.97,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.97,0.98,0.98,0.98,0.97,0.95,0.97,0.97,1.0,0.96,0.98,0.97,0.96,0.96,0.99,0.99,0.98,1.0,0.97,0.99,0.99,0.97,0.98,1.0,0.96,0.95,0.98,0.97,0.99
830,0.91,0.89,0.96,0.93,0.85,0.87,0.91,0.89,0.91,0.88,0.87,0.91,0.89,0.9,0.89,0.87,0.93,0.93,0.91,0.87,0.88,0.91,0.91,0.88,0.88,0.88,0.94,0.92,0.89,0.92,0.89,0.92,0.87,0.89,0.95,0.89,0.9,0.92,0.94,0.89,0.91,0.9,0.91,0.87,0.91,0.92,0.9,0.91,0.94,0.89,0.94,0.89,0.91,0.9,0.9,0.87,0.84,0.93,0.86,0.91,0.89,0.92,0.89,0.91,0.94,0.94,0.91,0.93,0.89,0.87,0.9,0.91,0.87,0.91,0.94,0.91,0.88,0.88,0.92,0.89,0.88,0.86,0.87,0.84,0.86,0.92,0.92,0.88,0.88,0.9,0.89,0.96,0.87,0.83,0.92,0.93,0.89,0.89,0.91,0.86
241,0.92,0.95,0.9,0.85,0.95,0.95,0.94,0.89,0.95,0.9,0.95,0.93,0.91,0.9,0.89,0.94,0.88,0.88,0.91,0.95,0.92,0.9,0.91,0.93,0.94,0.92,0.96,0.94,0.92,0.9,0.95,0.92,0.92,0.95,0.93,0.91,0.92,0.93,0.86,0.96,0.92,0.9,0.92,0.95,0.9,0.87,0.86,0.92,0.94,0.89,0.92,0.88,0.92,0.92,0.84,0.94,0.89,0.91,0.95,0.89,0.86,0.96,0.83,0.91,0.92,0.9,0.91,0.92,0.9,0.91,0.92,0.92,0.96,0.95,0.94,0.89,0.95,0.89,0.96,0.89,0.91,0.91,0.93,0.94,0.92,0.91,0.92,0.92,0.85,0.97,0.9,0.88,0.9,0.96,0.91,0.91,0.94,0.95,0.94,0.96
669,0.82,0.77,0.84,0.85,0.76,0.81,0.83,0.8,0.81,0.86,0.8,0.83,0.82,0.83,0.82,0.89,0.8,0.84,0.8,0.82,0.8,0.87,0.83,0.78,0.88,0.83,0.82,0.78,0.85,0.89,0.84,0.85,0.85,0.81,0.86,0.83,0.84,0.8,0.89,0.9,0.78,0.91,0.81,0.86,0.85,0.78,0.84,0.87,0.83,0.83,0.9,0.83,0.77,0.87,0.79,0.83,0.81,0.87,0.81,0.79,0.79,0.86,0.79,0.84,0.83,0.79,0.82,0.81,0.88,0.85,0.81,0.82,0.79,0.87,0.8,0.84,0.84,0.85,0.81,0.81,0.84,0.89,0.84,0.81,0.81,0.83,0.84,0.82,0.83,0.83,0.9,0.84,0.83,0.77,0.88,0.83,0.81,0.86,0.87,0.84
